PN001|NV001|2024-01-10|NCC001|5000000
PN002|NV002|2024-01-11|NCC002|3200000
PN003|NV003|2024-01-12|NCC003|1800000
PN004|NV004|2024-01-13|NCC004|2400000
PN005|NV005|2024-01-14|NCC005|1500000
PN006|NV006|2024-01-15|NCC006|3600000
PN007|NV007|2024-01-16|NCC007|2800000
PN008|NV008|2024-01-17|NCC008|1900000
PN009|NV009|2024-01-18|NCC009|4200000
PN010|NV010|2024-01-19|NCC010|2100000
PN011|NV001|2024-01-20|NCC001|3000000
PN012|NV002|2024-01-21|NCC002|2500000
PN013|NV003|2024-01-22|NCC003|1700000
PN014|NV004|2024-01-23|NCC004|3800000
PN015|NV005|2024-01-24|NCC005|2200000
PN016|NV006|2024-01-25|NCC006|2900000
PN017|NV007|2024-01-26|NCC007|3400000
PN018|NV008|2024-01-27|NCC008|1600000
PN019|NV009|2024-01-28|NCC009|4100000
PN020|NV010|2024-01-29|NCC010|2700000
PN021|NV001|2024-01-30|NCC011|3300000
PN022|NV002|2024-02-01|NCC012|2000000

